company,job_title,location
RiskIQ,Data Scientist,"San Francisco, CA, US"
Invitae,Data Scientist,"San Francisco, CA, US"
Bey,"Principal Data Scientist & Data Scientist (Product Analytics) from E-Commerce Industry (i.e Amazon, Alibaba, Best Buy, Sephora etc.)","San Francisco, CA, US"
Automatic,Data Scientist - Automatic Labs,"San Francisco, CA, US"
Numerator,Data Scientist,"San Francisco, CA, US"
"Scoop Technologies, Inc.",Data Scientist,"San Francisco, CA, US"
Uber,Data Scientist - Forecasting,"San Francisco, CA, US"
Opendoor,Data Scientist (Analytics),"San Francisco, CA, US"
StubHub,"Data Scientist, Product analytics",San Francisco Bay Area
"Grand Rounds, Inc.",Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Operations,"San Francisco, CA, US"
TAL Education Group,Data Scientist（Location:Beijing）,美国 旧金山湾区
Jyve Corporation,Data Scientist,"San Francisco, CA, US"
Hoodline,Data Scientist,"San Francisco, CA, US"
K Tek Resourcing LLC,Data Scientist,"San Francisco, CA, US"
Ridecell,Data Scientist,"San Francisco, CA, US"
Glocomms,NLP Data Scientist,"San Francisco, California, United States"
Optimizely,Data Scientist - Statistical Inference,"San Francisco, CA, US"
Compass Consulting,Data Scientist I,"San Francisco, CA, US"
Stella.ai,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Blueshift,Data Scientist,"San Francisco, CA, US"
O'Reilly Media,Data Scientist,"San Francisco, CA, US"
OpExpert- Consulting,Principal Data Scientist,"San Francisco, CA, US"
Scribd,Data Scientist,"San Francisco, CA, US"
LeapYear Technologies,Data Scientist,"Berkeley, CA, US"
O'Reilly Media,Data Scientist,"Oakland, CA, US"
Slack,"Data Scientist, Product","San Francisco, CA, US"
Curology,Data Scientist - Marketing,"San Francisco, CA, US"
Twitter,"Data Scientist, Growth","San Francisco, CA, US"
Tubi,Data Scientist,"San Francisco, CA, US"
StyleSeat,Data Scientist,"San Francisco, CA, US"
Smith Hanley Associates,Principal Data Scientist,"San Francisco, California"
Roche,"Associate Data Scientist or Data Scientist, Evidence for Access, USMA","South San Francisco, CA, US"
The RealReal,Data Scientist,"San Francisco, CA, US"
Slack,"Data Scientist, Lifecyle","San Francisco, CA, US"
TAL Education Group,Data Scientist（Location:Beijing）,美国 旧金山湾区
Sony Playstation Network,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Intrexon Corporation,Data Scientist/Engineer,"South San Francisco, CA, US"
Lime,Data Scientist,"San Francisco, CA, US"
Skupos Inc.,Data Scientist,"San Francisco, California, United States"
Engage Partners Inc.,Data Scientist,San Francisco Bay Area
Personal Capital,Data Scientist,"Redwood Shores, CA, US"
Alt Shift,Data Scientist,"San Francisco, CA, US"
Square,"Data Scientist, Operations","San Francisco, CA, US"
Cambly Inc.,Data Scientist,"San Francisco, CA, US"
Microsoft,Data & Applied Scientist,"San Francisco, CA, US"
